,LİSE,WEB,ADRES
23,ADIYAMAN - GERGER - GÖLYURT ÇOK PROGRAMLI ANADOLU LİSESİ,http://golyurtcokprogramlianadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/04/759294/okulumuz_hakkinda.html,Adres Gölyurt Köyü Gerger ADIYAMAN
24,ADIYAMAN - GÖLBAŞI - Gölbaşı Anadolu Lisesi,http://golbasianadolu.meb.k12.tr/meb_iys_dosyalar/02/05/317751/okulumuz_hakkinda.html,Adres Cumhuriyet Mahallesi Sakarya Caddesi GÖLBAŞI ADIYAMAN
25,ADIYAMAN - GÖLBAŞI - Gölbaşı Yunus Emre Anadolu Lisesi,http://yunusemreal02.meb.k12.tr/meb_iys_dosyalar/02/05/114421/okulumuz_hakkinda.html,Yenikent Mahallesi Toki Caddesi Polis Lojmanları Karşısı Gölbaşı Adıyaman
26,ADIYAMAN - GÖLBAŞI - Mehmet Tevfik Göksu Anadolu İmam Hatip Lisesi,http://golbasi02ihl.meb.k12.tr/meb_iys_dosyalar/02/05/114445/okulumuz_hakkinda.html,Adres Yavuz Selim Mah Malatya Yolu üzeri Gölbaşı Adıyaman
27,ADIYAMAN - GÖLBAŞI - Gölbaşı Mesleki ve Teknik Anadolu Lisesi,http://golbasimetem.meb.k12.tr/meb_iys_dosyalar/02/05/905432/okulumuz_hakkinda.html,Yavuz Selim Mah Dede Korkut Cad No23 Gölbaşı ADIYAMAN
28,ADIYAMAN - GÖLBAŞI - Gölbaşı Belören Çok Programlı Anadolu Lisesi,http://belorencokprogramlianadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/05/745581/okulumuz_hakkinda.html,İl Merkezine 87 km İlçe Merkezine 24 km Uzaklıktadır
29,ADIYAMAN - GÖLBAŞI - Gölbaşı İbn - i Sina Mesleki ve Teknik Anadolu Lisesi,http://golbasiasml.meb.k12.tr/meb_iys_dosyalar/02/05/751753/okulumuz_hakkinda.html,Cumhutiyet Mah Gazi Cad No171 Gölbaşı ADIYAMAN
30,ADIYAMAN - GÖLBAŞI - GÖLBAŞI FEN LİSESİ,http://golbasi02fenlisesi.meb.k12.tr/meb_iys_dosyalar/02/05/761520/okulumuz_hakkinda.html,Yenikent Mahallesi 1 Nisan Bulvarı No 350 Harmanlı yolu 3 km Gölbaşı Adıyaman
31,ADIYAMAN - KAHTA - Kahta Borsa İstanbul Kız Anadolu İmam Hatip Lisesi,http://kahtabistkihal.meb.k12.tr/meb_iys_dosyalar/02/06/965448/okulumuz_hakkinda.html,Adres Cami Mah Recep Tayyip ERDOĞAN Cad 248 A 02400 Kahta ADIYAMAN
32,ADIYAMAN - KAHTA - Akıncılar Çok Programlı Lisesi,http://akincilarcpl.meb.k12.tr/meb_iys_dosyalar/02/06/973980/okulumuz_hakkinda.html,57 Km
33,ADIYAMAN - KAHTA - Kahta Anadolu Lisesi,http://kahtaanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/06/317393/okulumuz_hakkinda.html,MENDERES MAH 9044 SOK NO13 HACIBEY İÖO ARKASI KAHTA ADIYAMAN
34,ADIYAMAN - KAHTA - Kahta Fen Lisesi,http://kahtafenlisesi.meb.k12.tr/meb_iys_dosyalar/02/06/972735/okulumuz_hakkinda.html,Adres Ortanca Köyü Küçük Sanayi Sitesi Yanı 324 1 Kahta Adıyaman
35,ADIYAMAN - KAHTA - Kahta Anadolu İmam Hatip Lisesi,http://kahtaanadoluihl.meb.k12.tr/meb_iys_dosyalar/02/06/114565/okulumuz_hakkinda.html,1 Nolu Saglik Ocagi Karşısı Fatih mahallesi Ebu Sadık caddesi No 54 Kahta ADIYAMAN
36,ADIYAMAN - KAHTA - Borsa İstanbul Anadolu Lisesi,http://kahtabistanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/06/972777/okulumuz_hakkinda.html,Camii Mahallesi Recep Tayyip Erdoğan Caddesi Kahta Borsa İstanbul Anadolu Lisesi Binası Kahta ADIYAMAN
37,ADIYAMAN - KAHTA - Kahta GAP Anadolu Lisesi,http://kahtagapanadolulisesi.meb.k12.tr/meb_iys_dosyalar/02/06/114541/okulumuz_hakkinda.html,Adres GİRNE MAH 6002 NOLU SK NO 18 KAHTA ADIYAMAN
38,ADIYAMAN - KAHTA - Kahta Mesleki ve Teknik Anadolu Lisesi,http://kahtamtal.meb.k12.tr/meb_iys_dosyalar/02/06/905444/okulumuz_hakkinda.html,Turgut Özal Mah Haci Üzeyir Cad Kahta Merkez Adıyaman Türkiye
39,ADIYAMAN - KAHTA - Kahta Cendere Mesleki ve Teknik Anadolu Lisesi,http://cenderemeslekiveteknik.meb.k12.tr/meb_iys_dosyalar/02/06/973536/okulumuz_hakkinda.html,Adres CENDERE MESLEKİ ve TEKNİK ANADOLU LİSESİ CAMİ MAHALLESİ RECEP TAYİP ERDOĞAN CADDESİ
40,ADIYAMAN - KAHTA - Ebu Sadık Anadolu İmam Hatip Lisesi,http://ebusadikihl.meb.k12.tr/meb_iys_dosyalar/02/06/724776/okulumuz_hakkinda.html,Yeni Mah 1122 Sok No38 Kahta Adıyaman
41,ADIYAMAN - KAHTA - Abdullah Öztürk Çok Programlı Anadolu Lisesi,http://abdullahozturkcpal.meb.k12.tr/meb_iys_dosyalar/02/06/748515/okulumuz_hakkinda.html,Adres Bölükyayla Beldesi Atatürk Mah Kahta Adıyaman
42,ADIYAMAN - KAHTA - Türkiye Petrolleri Kahta Kız Anadolu İmam Hatip Lisesi,http://kahtakizanadoluihl.meb.k12.tr/meb_iys_dosyalar/02/06/721322/okulumuz_hakkinda.html,Turgut Özal Mah 7014 Sok No1 Kahta ADIYAMAN
43,ADIYAMAN - KAHTA - Girne Mesleki ve Teknik Anadolu Lisesi,http://kahtagirnemtal.meb.k12.tr/meb_iys_dosyalar/02/06/710374/okulumuz_hakkinda.html,GİRNE MESLEKİ VE TEKNİK ANADOLU LİSESİ KAHTA ADIYAMAN 6061 sok No35 B
